"受注No","受注行No","硝/加工","追加区分","納品書No","納品書行No","納品日","売上日","発注日","入庫日","得意先コード","得意先名称","商品コード","加工完成品商品コード","商品名称","W寸法","H寸法","掛率集計コード","掛率集計名称","掛率集計コード","掛率集計名称","受注数量","硝子枚数","㎡","総㎡","仕入金額","仕入単価","加工完成品仕入単価","硝子厚み","総重量","品種区分","発注先コード","加工完成品仕入先コード","OP区分"
"1386655","2","2","1","Z680461","2","2025/12/25","2025/12/25","0000/00/00","0000/00/00","85090","吉田硝子工業株式会社","CFL8","KC54M","ＦＬ８　　　　四方　磨き","558","338","0021","ＦＬ８","0030","小口加工５・６ミリ","6.000","0.000","0.189","1.134","4050","675","195.00","8.0","23","5","11111","11210","02"
"1386721","2","2","1","Z678536","2","2025/12/24","2025/12/24","2025/12/23","2025/12/24","30530","㈱山陽堂","KC6.84M","-","　　　四方　磨き","1600","600","0040","小口加工６．８ミリ","-","-","2.000","2.000","1.000","2.000","3710","1855","-","6.8","34","-","11210","-","02"
"1386722","1","2","1","Z678534","1","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","KC54M","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","300","900","0042","Ｍ５","0030","小口加工５・６ミリ","1.000","0.000","0.270","0.270","1435","1435","261.00","5.0","3","5","11111","11210","02"
"1386722","2","2","1","Z678534","2","2025/12/24","2025/12/24","2025/12/23","2025/12/24","70020","前川硝子店","MGZENSYU","-","　　　ミラーガード　全周塗","300","900","0000","-","-","-","1.000","1.000","1.000","1.000","168","168","-","0.0","0","-","11210","-","02"
"1386724","1","2","1","Z678535","1","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","KC54M","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","460","610","0042","Ｍ５","0030","小口加工５・６ミリ","1.000","0.000","0.281","0.281","1455","1455","233.00","5.0","4","5","11111","11210","02"
"1386724","2","2","1","Z678535","2","2025/12/24","2025/12/24","2025/12/23","2025/12/24","70020","前川硝子店","MGZENSYU","-","　　　ミラーガード　全周塗","460","610","0000","-","-","-","1.000","1.000","1.000","1.000","150","150","-","0.0","0","-","11210","-","02"
"1386725","1","2","1","Z678538","1","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","KC54M","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","305","912","0042","Ｍ５","0030","小口加工５・６ミリ","1.000","0.000","0.278","0.278","1474","1474","265.00","5.0","3","5","11111","11210","02"
"1386725","2","2","1","Z678538","2","2025/12/24","2025/12/24","2025/12/23","2025/12/24","70020","前川硝子店","MGZENSYU","-","　　　ミラーガード　全周塗","305","912","0000","-","-","-","1.000","1.000","1.000","1.000","170","170","-","0.0","0","-","11210","-","02"
