メーカー識別掛率集計コード,メーカー識別コード,掛率集計コード,掛率集計名称,掛率集計略称,加工名,得意先1,得意先2,得意先3,得意先4
MK5060,MK,5060,小口加工　長方形　６　短１　磨,小長６短１磨,エッチング,,,,
MK5061,MK,5061,小口加工　長方形　６　短１　荒,小長６短１荒,エッチング,,,,
MK5070,MK,5070,小口加工　正方形　５　四方　磨,小正５四磨,エッチング,,,,
MK5071,MK,5071,小口加工　正方形　５　四方　荒,小正５四荒,エッチング,,,,
MK5080,MK,5080,小口加工　正方形　５　長１　磨,小正５長１磨,エッチング,,,,
MK5081,MK,5081,小口加工　正方形　５　長１　荒,小正５長１荒,エッチング,,,,
MK5090,MK,5090,小口加工　正方形　５　短１　磨,小正５短１磨,エッチング,,,,
MK5091,MK,5091,小口加工　正方形　５　短１　荒,小正５短１荒,エッチング,,,,
MK5100,MK,5100,引手加工　一般引　片引手　５ミ,引一般片５,引手,,,,
MK5110,MK,5110,引手加工　一般引　片引手　６ミ,引一般片６,引手,,,,
MK5120,MK,5120,コーナーＲ加工　５ミリ　５０Ｒ,Ｒ５５０,手加工　　R加工,,,,
MK5130,MK,5130,コーナーＲ加工　５ミリ　１００,Ｒ５１００,手加工　　R加工,,,,
MK5140,MK,5140,穴加工　５ミリ,穴５,手加工　　穴,,,,
MK5150,MK,5150,穴加工　５ミリ　磨き,穴５磨き,手加工　　穴,,,,
MK5160,MK,5160,角穴加工　５ミリ　５０,角５５０,手加工　　２次加工,,,,
MK5170,MK,5170,角穴加工　５ミリ　１００,角５１００,手加工　　２次加工,,,,
MK5180,MK,5180,広巾面取　長方形　５ミリ　四方,広長５四,広巾,,,,
MK5190,MK,5190,広巾面取　長方形　５ミリ　長１,広長５長１,広巾,,,,
MK5200,MK,5200,広巾面取　長方形　５ミリ　短１,広長５短１,広巾,,,,
MK5210,MK,5210,広巾面取　正方形　５ミリ　四方,広正５四,広巾,,,,
MK5220,MK,5220,広巾面取　正方形　５ミリ　長１,広正５長１,広巾,,,,
MK5230,MK,5230,広巾面取　正方形　５ミリ　長１,広正５短１,広巾,,,,
MK9999,MK,9999,テスト　メートル単価集計,テメートル単,,,,,
,,,,,,,,,
